date,open,high,low,close,adj_close,volume,mms_15,mms_30,mms_compra,mms_venda,mme_50,mme_200,mme_200_adj_120,mme_200_adj_80,prox_mme_adj,bb_upper,bb_central,bb_lower,bb_band_dist,bb_sobrecomprada,bb_sobrevendida,ifr,ifr_sobrecomprada,ifr_sobrevendida,macd,macd_sinal,macd_hist,macd_alta,macd_baixa,%k,%D,dema,momentum,roc
2013-05-22,33.20000076293945,33.540000915527344,32.290000915527344,32.619998931884766,19.25117874145508,5179200,33.362000147501625,33.39166679382324,0,0,34.21797812624629,36.99759655213983,44.397115862567794,29.598077241711866,-8.75519524051013,35.51394872708899,33.506000232696536,31.49805173830409,4.120223374714946,0,0,44.70282367916379,0,0,-0.44983608086061366,-0.37871357312859505,-0.07112250773201861,0,0,74.82327344109919,55.32602132512718,32.61233220403236,-2.3400001525878906,-6.693364456142659
2013-05-23,31.739999771118164,32.0099983215332,31.46999931335449,32.0099983215332,18.89117431640625,4384700,33.263333257039385,33.29200007120768,0,0,34.131390682924206,36.94796870904922,44.33756245085906,29.558374967239377,-9.875940775032031,35.53788323149578,33.427500057220456,31.317116882945133,4.3304149028385375,0,0,41.48262960423757,0,0,-0.4932171442030011,-0.40161428734347626,-0.09160285685952485,0,0,61.56380957246446,65.75353818656002,32.48065543342634,-3.140003204345703,-8.933152398397192
2013-05-24,31.57999992370605,31.84000015258789,31.51000022888184,31.700000762939453,18.708227157592773,3298900,33.12333335876465,33.210666783650716,0,0,34.03604205861108,36.89575012252077,44.274900147024915,29.516600098016614,-10.391498719162623,35.52044207018061,33.30700006484985,31.093558059519097,4.541887162145954,0,0,39.909250600543885,0,0,-0.5463135985704355,-0.4305541495888681,-0.11575944898156737,0,0,35.372855743253446,57.25331291893931,32.32475272837068,-2.5400009155273438,-7.418226609272405
2013-05-27,31.700000762939453,32.0,31.600000381469727,31.850000381469727,18.796751022338867,605500,32.99133326212565,33.119666735331215,0,0,33.9503149340173,36.845543657435684,44.21465238892282,29.47643492594855,-9.991086551931918,35.46200735958363,33.19400005340576,30.925992747227887,4.653852797033819,0,0,41.073889816126666,0,0,-0.5697218072254628,-0.45838768111618705,-0.11133412610927579,0,0,21.492052962034165,39.47623942591763,32.20444759976517,-1.5899982452392578,-4.754779636770989
2013-05-28,32.20000076293945,32.209999084472656,31.299999237060547,31.299999237060547,18.47216415405273,3372000,32.75466664632162,33.081000073750815,0,0,33.84638098511704,36.79036411096429,44.14843693315715,29.432291288771435,-10.98072974780749,35.482214199972674,33.079000091552736,30.675785983132798,4.931291301343655,0,0,38.1539030504367,0,0,-0.6254437508000734,-0.4917988950529643,-0.1336448557471091,0,0,11.446424664999961,22.7704444567628,32.02901103435464,-1.4900016784667969,-4.544073305472896
2013-05-29,31.0,31.420000076293945,30.8700008392334,31.049999237060547,18.324621200561523,5899200,32.49399998982747,33.00933335622152,0,0,33.73671895578149,36.73324605251749,44.07989526302098,29.38659684201399,-11.366493630913876,35.4070855958202,32.9170000076294,30.426914419438592,5.109547816660636,0,0,36.87080807550086,0,0,-0.6819160000303199,-0.5298223160484354,-0.1520936839818845,0,0,10.596753053348019,14.511743560127655,31.84122934996398,-1.0499992370605469,-3.2710258161135153
2013-05-31,31.549999237060547,31.670000076293945,30.34000015258789,30.450000762939453,17.970518112182617,7515700,32.18066660563151,32.94233341217041,0,0,33.60782804625828,36.670726198889845,44.00487143866781,29.336580959111878,-12.441450871900784,35.45937578058304,32.76499996185303,30.070624143123016,5.5287425248102835,0,0,33.92231485385033,0,0,-0.7662526433738748,-0.5771083815135233,-0.1891442618603515,0,0,6.438374262152521,9.493850660167107,31.598680823513725,-0.8999996185302734,-2.870812145387547
2013-06-03,30.86000061035156,31.63999938964844,30.790000915527344,31.600000381469727,18.64921188354492,4662800,32.00466651916504,32.93233343760173,0,0,33.52908970646265,36.62027121563193,43.944325458758314,29.296216972505547,-10.040541668324408,35.35100840322856,32.65500001907348,29.958991634918405,5.53209247837896,0,0,43.28402358359402,0,0,-0.7318582759298167,-0.608058360396782,-0.12379991553303471,0,0,28.89828421892606,15.311137178142474,31.52523849597644,-0.1700000762939453,-0.5350962349526922
2013-06-04,32.0,32.08000183105469,31.1299991607666,32.0,18.88527488708496,5599600,31.908666610717773,32.92900015513102,0,0,33.46912540424843,36.574298367715194,43.889158041258234,29.259438694172157,-9.148596735430392,35.21767612622769,32.56349992752075,29.909323728813813,5.446254644999115,0,0,46.142240288778126,0,0,-0.6646620552184679,-0.6193790993611191,-0.04528295585734876,0,0,54.010738276938866,29.782465586006094,31.511226013465254,-0.8899993896484375,-2.705987856991421
2013-06-05,31.649999618530277,31.96999931335449,30.799999237060547,30.920000076293945,18.24789810180664,4001000,31.783999888102212,32.88000017801921,0,0,33.36915970511296,36.51803669317369,43.821644031808425,29.214429354538954,-11.196073233759488,34.89381730438608,32.36700000762939,29.8401827108727,5.184919692307183,0,0,40.24498011727345,0,0,-0.6905947872619826,-0.6336222369412918,-0.05697255032069082,0,0,63.16104089490393,48.69002113025656,31.36613819588929,-2.230001449584961,-6.727002554868921
